Freq.	V(vout)
1.64437172321491e+00	(-3.95251571557095e+01dB,1.68070357615142e+02°)
1.64816239152549e+00	(-3.94855795305769e+01dB,1.68043049360568e+02°)
1.65196179822900e+00	(-3.94460038342526e+01dB,1.68015679476329e+02°)
1.65576996346951e+00	(-3.94064300754490e+01dB,1.67988247829390e+02°)
1.65958690743754e+00	(-3.93668582629176e+01dB,1.67960754286471e+02°)
1.66341265037015e+00	(-3.93272884054480e+01dB,1.67933198714045e+02°)
1.66724721255104e+00	(-3.92877205118689e+01dB,1.67905580978339e+02°)
1.67109061431069e+00	(-3.92481545910480e+01dB,1.67877900945335e+02°)
1.67494287602642e+00	(-3.92085906518919e+01dB,1.67850158480768e+02°)
1.67880401812254e+00	(-3.91690287033468e+01dB,1.67822353450128e+02°)
1.68267406107045e+00	(-3.91294687543981e+01dB,1.67794485718657e+02°)
1.68655302538872e+00	(-3.90899108140709e+01dB,1.67766555151352e+02°)
1.69044093164324e+00	(-3.90503548914303e+01dB,1.67738561612962e+02°)
1.69433780044731e+00	(-3.90108009955811e+01dB,1.67710504967989e+02°)
1.69824365246172e+00	(-3.89712491356683e+01dB,1.67682385080688e+02°)
1.70215850839493e+00	(-3.89316993208773e+01dB,1.67654201815069e+02°)
1.70608238900310e+00	(-3.88921515604339e+01dB,1.67625955034891e+02°)
1.71001531509027e+00	(-3.88526058636045e+01dB,1.67597644603669e+02°)
1.71395730750840e+00	(-3.88130622396964e+01dB,1.67569270384669e+02°)
1.71790838715757e+00	(-3.87735206980577e+01dB,1.67540832240908e+02°)
1.72186857498599e+00	(-3.87339812480779e+01dB,1.67512330035158e+02°)
1.72583789199018e+00	(-3.86944438991877e+01dB,1.67483763629941e+02°)
1.72981635921508e+00	(-3.86549086608592e+01dB,1.67455132887532e+02°)
1.73380399775412e+00	(-3.86153755426063e+01dB,1.67426437669956e+02°)
1.73780082874935e+00	(-3.85758445539847e+01dB,1.67397677838993e+02°)
1.74180687339159e+00	(-3.85363157045920e+01dB,1.67368853256172e+02°)
1.74582215292048e+00	(-3.84967890040683e+01dB,1.67339963782775e+02°)
1.74984668862463e+00	(-3.84572644620957e+01dB,1.67311009279833e+02°)
1.75388050184174e+00	(-3.84177420883992e+01dB,1.67281989608132e+02°)
1.75792361395867e+00	(-3.83782218927461e+01dB,1.67252904628206e+02°)
1.76197604641161e+00	(-3.83387038849470e+01dB,1.67223754200342e+02°)
1.76603782068614e+00	(-3.82991880748553e+01dB,1.67194538184578e+02°)
1.77010895831740e+00	(-3.82596744723678e+01dB,1.67165256440701e+02°)
1.77418948089014e+00	(-3.82201630874247e+01dB,1.67135908828250e+02°)
1.77827941003890e+00	(-3.81806539300098e+01dB,1.67106495206516e+02°)
1.78237876744807e+00	(-3.81411470101507e+01dB,1.67077015434540e+02°)
1.78648757485203e+00	(-3.81016423379190e+01dB,1.67047469371112e+02°)
1.79060585403527e+00	(-3.80621399234304e+01dB,1.67017856874775e+02°)
1.79473362683250e+00	(-3.80226397768450e+01dB,1.66988177803820e+02°)
1.79887091512876e+00	(-3.79831419083674e+01dB,1.66958432016290e+02°)
1.80301774085954e+00	(-3.79436463282469e+01dB,1.66928619369979e+02°)
1.80717412601090e+00	(-3.79041530467777e+01dB,1.66898739722429e+02°)
1.81134009261958e+00	(-3.78646620742992e+01dB,1.66868792930933e+02°)
1.81551566277311e+00	(-3.78251734211958e+01dB,1.66838778852536e+02°)
1.81970085860996e+00	(-3.77856870978976e+01dB,1.66808697344030e+02°)
1.82389570231961e+00	(-3.77462031148802e+01dB,1.66778548261960e+02°)
1.82810021614272e+00	(-3.77067214826651e+01dB,1.66748331462619e+02°)
1.83231442237119e+00	(-3.76672422118199e+01dB,1.66718046802051e+02°)
1.83653834334832e+00	(-3.76277653129581e+01dB,1.66687694136049e+02°)
1.84077200146893e+00	(-3.75882907967400e+01dB,1.66657273320156e+02°)
1.84501541917945e+00	(-3.75488186738721e+01dB,1.66626784209666e+02°)
1.84926861897805e+00	(-3.75093489551081e+01dB,1.66596226659622e+02°)
1.85353162341478e+00	(-3.74698816512482e+01dB,1.66565600524816e+02°)
1.85780445509167e+00	(-3.74304167731401e+01dB,1.66534905659791e+02°)
1.86208713666284e+00	(-3.73909543316789e+01dB,1.66504141918839e+02°)
1.86637969083464e+00	(-3.73514943378069e+01dB,1.66473309156003e+02°)
1.87068214036577e+00	(-3.73120368025146e+01dB,1.66442407225072e+02°)
1.87499450806739e+00	(-3.72725817368399e+01dB,1.66411435979590e+02°)
1.87931681680324e+00	(-3.72331291518695e+01dB,1.66380395272847e+02°)
1.88364908948977e+00	(-3.71936790587378e+01dB,1.66349284957884e+02°)
1.88799134909627e+00	(-3.71542314686282e+01dB,1.66318104887490e+02°)
1.89234361864495e+00	(-3.71147863927726e+01dB,1.66286854914207e+02°)
1.89670592121112e+00	(-3.70753438424518e+01dB,1.66255534890323e+02°)
1.90107827992327e+00	(-3.70359038289960e+01dB,1.66224144667879e+02°)
1.90546071796322e+00	(-3.69964663637844e+01dB,1.66192684098663e+02°)
1.90985325856621e+00	(-3.69570314582459e+01dB,1.66161153034215e+02°)
1.91425592502106e+00	(-3.69175991238592e+01dB,1.66129551325822e+02°)
1.91866874067026e+00	(-3.68781693721528e+01dB,1.66097878824524e+02°)
1.92309172891013e+00	(-3.68387422147054e+01dB,1.66066135381108e+02°)
1.92752491319091e+00	(-3.67993176631460e+01dB,1.66034320846113e+02°)
1.93196831701689e+00	(-3.67598957291543e+01dB,1.66002435069827e+02°)
1.93642196394658e+00	(-3.67204764244606e+01dB,1.65970477902287e+02°)
1.94088587759275e+00	(-3.66810597608462e+01dB,1.65938449193282e+02°)
1.94536008162263e+00	(-3.66416457501435e+01dB,1.65906348792350e+02°)
1.94984459975802e+00	(-3.66022344042365e+01dB,1.65874176548778e+02°)
1.95433945577536e+00	(-3.65628257350605e+01dB,1.65841932311605e+02°)
1.95884467350596e+00	(-3.65234197546029e+01dB,1.65809615929619e+02°)
1.96336027683602e+00	(-3.64840164749027e+01dB,1.65777227251358e+02°)
1.96788628970681e+00	(-3.64446159080515e+01dB,1.65744766125113e+02°)
1.97242273611482e+00	(-3.64052180661931e+01dB,1.65712232398922e+02°)
1.97696964011183e+00	(-3.63658229615240e+01dB,1.65679625920575e+02°)
1.98152702580507e+00	(-3.63264306062935e+01dB,1.65646946537613e+02°)
1.98609491735734e+00	(-3.62870410128041e+01dB,1.65614194097326e+02°)
