time	V(escalon)	V(vout)
1.944463481109788e-02	1.000000e+00	-1.352583e-01
1.954463481109788e-02	1.000000e+00	-1.354324e-01
1.964463481109788e-02	1.000000e+00	-1.355839e-01
1.974463481109788e-02	1.000000e+00	-1.357112e-01
1.984463481109788e-02	1.000000e+00	-1.358132e-01
1.994463481109788e-02	1.000000e+00	-1.358894e-01
2.004463481109788e-02	1.000000e+00	-1.359396e-01
2.014463481109788e-02	1.000000e+00	-1.359641e-01
2.024463481109788e-02	1.000000e+00	-1.359635e-01
2.034463481109788e-02	1.000000e+00	-1.359391e-01
2.054463481109788e-02	1.000000e+00	-1.358240e-01
2.084463481109787e-02	1.000000e+00	-1.355121e-01
2.104463481109787e-02	1.000000e+00	-1.352333e-01
2.114463481109787e-02	1.000000e+00	-1.350782e-01
2.124463481109787e-02	1.000000e+00	-1.349146e-01
2.134463481109787e-02	1.000000e+00	-1.347440e-01
2.144463481109787e-02	1.000000e+00	-1.345674e-01
2.154463481109787e-02	1.000000e+00	-1.343858e-01
2.164463481109787e-02	1.000000e+00	-1.341998e-01
2.174463481109787e-02	1.000000e+00	-1.340098e-01
2.184463481109787e-02	1.000000e+00	-1.338160e-01
2.194463481109787e-02	1.000000e+00	-1.336184e-01
2.204463481109787e-02	1.000000e+00	-1.334167e-01
2.224463481109787e-02	1.000000e+00	-1.329997e-01
2.233034909681215e-02	1.000000e+00	-1.328156e-01
2.241606338252643e-02	1.000000e+00	-1.326261e-01
2.250177766824072e-02	1.000000e+00	-1.324311e-01
2.258749195395501e-02	1.000000e+00	-1.322308e-01
2.267320623966929e-02	1.000000e+00	-1.320250e-01
2.275892052538358e-02	1.000000e+00	-1.318138e-01
2.284463481109786e-02	1.000000e+00	-1.315973e-01
2.304463481109786e-02	1.000000e+00	-1.310634e-01
2.324463481109786e-02	1.000000e+00	-1.304909e-01
2.344463481109786e-02	1.000000e+00	-1.298791e-01
2.364463481109786e-02	1.000000e+00	-1.292290e-01
2.394463481109785e-02	1.000000e+00	-1.281881e-01
2.405892052538357e-02	1.000000e+00	-1.277712e-01
2.417320623966928e-02	1.000000e+00	-1.273475e-01
2.428749195395500e-02	1.000000e+00	-1.269171e-01
2.440177766824071e-02	1.000000e+00	-1.264798e-01
2.451606338252642e-02	1.000000e+00	-1.260357e-01
2.463034909681214e-02	1.000000e+00	-1.255849e-01
2.474463481109785e-02	1.000000e+00	-1.251272e-01
2.494463481109785e-02	1.000000e+00	-1.243191e-01
2.514463481109785e-02	1.000000e+00	-1.234994e-01
2.544463481109785e-02	1.000000e+00	-1.222502e-01
2.557320623966928e-02	1.000000e+00	-1.217082e-01
2.570177766824070e-02	1.000000e+00	-1.211613e-01
2.583034909681213e-02	1.000000e+00	-1.206094e-01
2.595892052538356e-02	1.000000e+00	-1.200526e-01
2.608749195395499e-02	1.000000e+00	-1.194907e-01
2.621606338252641e-02	1.000000e+00	-1.189240e-01
2.634463481109784e-02	1.000000e+00	-1.183522e-01
2.664463481109784e-02	1.000000e+00	-1.169956e-01
2.680177766824069e-02	1.000000e+00	-1.162716e-01
2.695892052538355e-02	1.000000e+00	-1.155413e-01
2.711606338252641e-02	1.000000e+00	-1.148048e-01
2.727320623966926e-02	1.000000e+00	-1.140621e-01
2.743034909681212e-02	1.000000e+00	-1.133132e-01
2.758749195395498e-02	1.000000e+00	-1.125580e-01
2.774463481109783e-02	1.000000e+00	-1.117967e-01
2.795892052538354e-02	1.000000e+00	-1.107529e-01
2.817320623966926e-02	1.000000e+00	-1.097061e-01
2.838749195395497e-02	1.000000e+00	-1.086562e-01
2.860177766824068e-02	1.000000e+00	-1.076033e-01
2.881606338252640e-02	1.000000e+00	-1.065473e-01
2.903034909681211e-02	1.000000e+00	-1.054882e-01
2.924463481109782e-02	1.000000e+00	-1.044260e-01
2.953034909681211e-02	1.000000e+00	-1.030058e-01
2.981606338252639e-02	1.000000e+00	-1.015847e-01
3.010177766824067e-02	1.000000e+00	-1.001627e-01
3.038749195395496e-02	1.000000e+00	-9.873975e-02
3.067320623966924e-02	1.000000e+00	-9.731586e-02
3.095892052538353e-02	1.000000e+00	-9.589104e-02
3.124463481109781e-02	1.000000e+00	-9.446529e-02
3.157320623966925e-02	1.000000e+00	-9.283264e-02
3.190177766824068e-02	1.000000e+00	-9.120997e-02
3.223034909681213e-02	1.000000e+00	-8.959726e-02
3.255892052538356e-02	1.000000e+00	-8.799452e-02
3.288749195395500e-02	1.000000e+00	-8.640174e-02
3.321606338252644e-02	1.000000e+00	-8.481893e-02
3.354463481109787e-02	1.000000e+00	-8.324609e-02
3.438749195395504e-02	1.000000e+00	-7.925774e-02
3.523034909681221e-02	1.000000e+00	-7.538651e-02
3.607320623966938e-02	1.000000e+00	-7.163240e-02
3.691606338252654e-02	1.000000e+00	-6.799540e-02
3.775892052538371e-02	1.000000e+00	-6.447553e-02
3.860177766824088e-02	1.000000e+00	-6.107277e-02
3.944463481109804e-02	1.000000e+00	-5.778713e-02
4.000000000000000e-02	1.000000e+00	-5.570187e-02
